SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1400.00,1414.90,1381.40,1408.40,1408.40,1398.20,551,5968,8348382.00,
500003,AEGIS LOGIS ,A ,Q,207.60,216.60,206.10,211.05,211.05,206.25,835,30193,6414602.00,
500008,AMAR RAJA BA,A ,Q,680.00,683.00,673.00,675.35,675.35,680.10,565,17356,11750279.00,
500009,A.SARABHAI  ,X ,Q,14.00,15.70,14.00,15.22,15.22,13.90,496,179104,2717036.00,
500010,HDFC        ,A ,Q,2054.00,2070.00,2040.00,2068.00,2065.30,2053.65,2561,46260,95340764.00,
500012,ANDHRA PETRO,X ,Q,56.50,57.30,55.75,56.20,56.05,57.00,112,21416,1204973.00,
500013,ANSAL INFRAS,B ,Q,11.15,11.70,11.14,11.70,11.69,11.32,16,2488,28095.00,
500014,APPLE FINANC,XT,Q,1.62,1.70,1.62,1.70,1.70,1.70,8,1055,1751.00,
500020,BOM DYEING  ,A ,Q,137.90,137.90,133.65,136.35,136.35,137.30,2314,193471,26213335.00,
500023,ASIANHOTNR  ,B ,Q,127.10,135.00,127.10,135.00,135.00,131.00,12,271,35902.00,
500024,ASSAMCO     ,T ,Q,2.25,2.25,2.07,2.13,2.13,2.15,33,48022,102381.00,
500027,ATUL LTD.   ,A ,Q,3509.95,3522.00,3478.75,3499.25,3480.30,3518.10,99,309,1081745.00,
500028,ATV PROJECTS,XT,Q,6.64,6.64,6.03,6.04,6.03,6.34,15,1797,10863.00,
500029,AUTOLITE(I) ,B ,Q,39.80,39.80,37.05,37.25,37.45,38.00,58,3217,122375.00,
500031,BAJAJ ELECT.,A ,Q,529.00,555.00,529.00,545.20,551.40,532.50,669,15678,8431908.00,
500032,BAJAJHIND   ,B ,Q,9.50,9.60,8.90,9.19,9.19,9.40,273,185945,1698885.00,
500033,FORCE MOTR  ,A ,Q,1808.00,1840.00,1781.20,1802.85,1803.50,1804.10,2187,23803,43018803.00,
500034,BAJFINANCE  ,A ,Q,3020.00,3051.00,2978.00,3014.20,3014.20,3028.80,4258,180224,540955374.00,
500038,BALRAM.CHINI,A ,Q,133.10,135.00,128.80,134.45,134.45,132.75,3533,312934,41344322.00,
500039,BANCO PROD. ,B ,Q,152.00,152.70,150.50,152.55,152.60,152.70,41,2787,424824.00,
500040,CENTURY TEXT,A ,Q,898.25,900.20,872.00,890.00,890.00,903.15,1434,34540,30562284.00,
500041,BANNARI AMAN,B ,Q,1545.05,1545.05,1510.00,1543.00,1543.00,1571.65,18,31,47477.00,
500042,BASF INDIA  ,A ,Q,1381.15,1412.70,1374.85,1394.10,1388.15,1383.60,114,606,845756.00,
500043,BATA INDIA  ,A ,Q,1390.10,1415.00,1383.65,1400.35,1400.35,1396.95,876,22177,31096706.00,
500048,BEML LTD    ,A ,Q,969.70,974.65,948.00,968.20,968.20,961.95,2409,119239,114241227.00,
500049,BHARAT ELECT,A ,Q,95.35,96.80,93.30,95.95,95.95,95.15,1832,587497,55680091.00,
500052,BHANSALI ENG,B ,Q,71.25,72.60,70.75,71.35,71.35,71.25,949,111803,7981916.00,
500055,TATASTLBSL  ,B ,Q,36.20,36.20,33.75,34.70,34.70,36.20,1296,368127,12839971.00,
500058,BIHAR SPONGE,XT,Q,0.96,1.00,0.92,1.00,1.00,0.96,15,5019,4987.00,
500059,BINANI IND. ,T ,Q,38.15,38.15,36.85,37.00,36.90,37.25,17,31844,1193999.00,
500060,BIRLACABLE  ,B ,Q,152.35,152.35,144.00,144.75,145.60,148.05,121,6367,923468.00,
500067,BLUE STAR   ,A ,Q,693.00,694.15,682.00,685.10,682.00,691.70,141,1593,1099103.00,
500068,DISA INDIA  ,X ,Q,5911.30,5950.00,5906.00,5907.55,5906.00,6000.05,8,29,171448.00,
500069,BNK CAPITAL ,X ,Q,87.00,93.90,86.25,86.30,86.25,86.50,10,1198,103513.00,
500074,BPL LTD.    ,B ,Q,26.40,26.80,26.20,26.45,26.20,26.65,58,10119,267508.00,
500078,OAL         ,X ,Q,225.00,230.00,224.00,224.35,224.80,224.80,42,3261,732571.00,
500083,CENTURY EXT ,B ,Q,5.90,5.90,5.77,5.82,5.80,5.90,31,13250,77177.00,
500084,CESC LTD.   ,A ,Q,731.20,741.65,727.75,729.95,732.80,733.40,285,11267,8258988.00,
500085,CHAMBAL FERT,A ,Q,162.60,163.50,161.85,162.25,162.70,163.10,823,26221,4263094.00,
500086,EXIDE IND.  ,A ,Q,217.05,218.80,214.40,218.00,218.00,217.05,1038,114649,24824889.00,
500087,CIPLA LTD.  ,A ,Q,526.90,533.50,525.60,531.60,530.20,525.60,3106,139236,73792774.00,
500092,CRISIL LTD  ,A ,Q,1465.50,1476.15,1440.00,1448.25,1440.00,1463.20,127,530,773955.00,
500093,CGPOWER     ,A ,Q,38.80,39.35,38.10,39.15,39.15,38.70,1296,476987,18497475.00,
500096,DABUR (I)   ,A ,Q,403.00,404.90,400.20,403.45,403.45,401.95,1413,95364,38350378.00,
500097,DALMIASUG   ,B ,Q,114.50,117.50,114.50,116.55,117.00,115.20,183,10477,1218162.00,
500101,ARVIND Ltd  ,A ,Q,88.00,88.80,86.50,88.40,88.40,88.00,976,155814,13656422.00,
500102,BALARPUR IND,B ,Q,3.02,3.02,3.02,3.02,3.02,3.17,94,180169,544110.00,
500103,BHEL        ,A ,Q,72.95,73.10,71.15,71.75,72.20,72.45,2423,1156587,82904998.00,
500104,HIND.PETRO  ,A ,Q,249.55,257.80,247.45,256.25,256.25,253.00,3419,314744,79982116.00,
500106,IFCI LTD    ,A ,Q,12.94,13.04,12.80,12.96,13.00,12.94,508,196103,2531381.00,
500108,MAHA.TELE   ,B ,Q,12.10,12.15,11.84,11.91,11.91,12.00,360,204738,2443790.00,
